ID,Acronym,Name,Sector,Type,Saved_Filename,File_Size_Bytes,Official_Logo_URL,Audit_Status,Classification,Audit_Notes
1,BOB,Bank of Baroda (BOB),Banking & Finance,Bank / Regulator / Insurance,001_BOB_Bank_of_Baroda_(BOB).png,162387,https://upload.wikimedia.org/wikipedia/commons/e/ec/Bank_of_Baroda_Logo_since_Dec_19.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
2,BOI,Bank of India (BOI),Banking & Finance,Bank / Regulator / Insurance,002_BOI_Bank_of_India_(BOI).svg,58954,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/bkid/logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
3,BOM,Bank of Maharashtra (BOM),Banking & Finance,Bank / Regulator / Insurance,003_BOM_Bank_of_Maharashtra_(BOM).svg,71474,https://upload.wikimedia.org/wikipedia/commons/e/e5/Bank_of_Maharashtra_logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
4,CB,Canara Bank,Banking & Finance,Bank / Regulator / Insurance,004_CB_Canara_Bank.svg,24774,https://upload.wikimedia.org/wikipedia/commons/5/50/Canara_Bank_Logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
5,CBI,Central Bank of India (CBI),Banking & Finance,Bank / Regulator / Insurance,005_CBI_Central_Bank_of_India_(CBI).svg,130775,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/cbin/logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
6,GIC,General Insurance Corporation of India (GIC),Banking & Finance,Bank / Regulator / Insurance,006_GIC_General_Insurance_Corporation_of_India_(GIC).png,16848,https://vigilance.gicre.in/storage/setting/logo/gic-logo.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
7,IB,Indian Bank,Banking & Finance,Bank / Regulator / Insurance,007_IB_Indian_Bank.svg,17335,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/idib/logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
8,IOB,Indian Overseas Bank (IOB),Banking & Finance,Bank / Regulator / Insurance,008_IOB_Indian_Overseas_Bank_(IOB).svg,25795,https://upload.wikimedia.org/wikipedia/commons/2/29/Indian_Overseas_Bank_Logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
9,IBPS,Institute of Banking Personnel Selection (IBPS),Banking & Finance,Bank / Regulator / Insurance,009_IBPS_Institute_of_Banking_Personnel_Selection_(IBPS).png,43033,https://www.ibps.in/wp-content/uploads/logo-2.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
10,LIC,Life Insurance Corporation of India (LIC),Banking & Finance,Bank / Regulator / Insurance,010_LIC_Life_Insurance_Corporation_of_India_(LIC).svg,94212,https://upload.wikimedia.org/wikipedia/mr/a/aa/LIC_Logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
11,NABARD,National Bank for Agriculture and Rural Development (NABARD),Banking & Finance,Bank / Regulator / Insurance,011_NABARD_National_Bank_for_Agriculture_and_Rural_Development_(NABARD).jpg,52729,https://upload.wikimedia.org/wikipedia/commons/8/8f/NABARD.jpg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
12,NICL,National Insurance Company Limited (NICL),Banking & Finance,Bank / Regulator / Insurance,012_NICL_National_Insurance_Company_Limited_(NICL).svg,23880,https://nationalinsurance.nic.co.in/themes/custom/nicl/logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
13,NIACL,New India Assurance Company (NIACL),Banking & Finance,Bank / Regulator / Insurance,013_NIACL_New_India_Assurance_Company_(NIACL).png,55574,https://images.seeklogo.com/logo-png/28/1/new-india-assurance-logo-png_seeklogo-289935.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
14,OICL,Oriental Insurance Company (OICL),Banking & Finance,Bank / Regulator / Insurance,014_OICL_Oriental_Insurance_Company_(OICL).png,8860,https://oicl-cms-media.s3.ap-south-1.amazonaws.com/oicl_logo_f696d7368c.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
15,PSB,Punjab & Sind Bank (PSB),Banking & Finance,Bank / Regulator / Insurance,015_PSB_Punjab_&_Sind_Bank_(PSB).svg,81519,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/psib/logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
16,PNB,Punjab National Bank (PNB),Banking & Finance,Bank / Regulator / Insurance,016_PNB_Punjab_National_Bank_(PNB).svg,2306,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/punb/logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
17,RBI,Reserve Bank of India (RBI),Banking & Finance,Bank / Regulator / Insurance,017_RBI_Reserve_Bank_of_India_(RBI).svg,155812,https://upload.wikimedia.org/wikipedia/commons/8/8d/Reserve_Bank_of_India_logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
18,SEBI,Securities and Exchange Board of India (SEBI),Banking & Finance,Bank / Regulator / Insurance,018_SEBI_Securities_and_Exchange_Board_of_India_(SEBI).jpg,27644,https://upload.wikimedia.org/wikipedia/commons/1/18/Securities_Exchange_Board_of_India.jpg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
19,SIDBI,Small Industries Development Bank of India (SIDBI),Banking & Finance,Bank / Regulator / Insurance,019_SIDBI_Small_Industries_Development_Bank_of_India_(SIDBI).png,19384,https://upload.wikimedia.org/wikipedia/commons/8/87/SIDBI_LOGO.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
20,SBI,State Bank of India (SBI),Banking & Finance,Bank / Regulator / Insurance,020_SBI_State_Bank_of_India_(SBI).svg,4860,https://upload.wikimedia.org/wikipedia/commons/3/33/State_Bank_of_India.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
21,UB,UCO Bank,Banking & Finance,Bank / Regulator / Insurance,021_UB_UCO_Bank.svg,4219,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/ucba/logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
22,UBI,Union Bank of India (UBI),Banking & Finance,Bank / Regulator / Insurance,022_UBI_Union_Bank_of_India_(UBI).svg,23967,https://upload.wikimedia.org/wikipedia/commons/d/d0/Union_Bank_of_India_Logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
23,UIIC,United India Insurance Company (UIIC),Banking & Finance,Bank / Regulator / Insurance,023_UIIC_United_India_Insurance_Company_(UIIC).svg,20715,https://upload.wikimedia.org/wikipedia/commons/d/df/United_India_Insurance.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
24,CAG,Comptroller and Auditor General of India (CAG),Central Government,Apex Body / Ministry,024_CAG_Comptroller_and_Auditor_General_of_India_(CAG).png,7288,https://cag.gov.in/themes/c_o_e_f_a_j_o_u_r_n_a_l/assets/images/cagindia.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
25,ECI,Election Commission of India (ECI),Central Government,Apex Body / Ministry,025_ECI_Election_Commission_of_India_(ECI).svg,12406,https://upload.wikimedia.org/wikipedia/commons/7/72/Election_Commission_of_India_Logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
26,Standard National Emblem,Government of India Ministries (Standard National Emblem),Central Government,Apex Body / Ministry,026_Standard_National_Emblem_Government_of_India_Ministries_(Standard_National_Emblem).svg,437693,https://upload.wikimedia.org/wikipedia/commons/5/55/Emblem_of_India.svg,DOWNLOADED,INTENDED_GENERIC,General Ministries umbrella category uses National Emblem of India
27,Department of Posts,India Post (Department of Posts),Central Government,Apex Body / Ministry,027_Department_of_Posts_India_Post_(Department_of_Posts).jpg,18522,https://upload.wikimedia.org/wikipedia/commons/b/be/India-post-logo.jpg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
