ID,Organization_Name,Sector,Organization_Type,Acronym,Official_Logo_Link
1,Bank of Baroda (BOB),Banking & Finance,Bank / Regulator / Insurance,BOB,https://upload.wikimedia.org/wikipedia/commons/e/ec/Bank_of_Baroda_Logo_since_Dec_19.png
2,Bank of India (BOI),Banking & Finance,Bank / Regulator / Insurance,BOI,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/bkid/logo.svg
3,Bank of Maharashtra (BOM),Banking & Finance,Bank / Regulator / Insurance,BOM,https://upload.wikimedia.org/wikipedia/commons/e/e5/Bank_of_Maharashtra_logo.svg
4,Canara Bank,Banking & Finance,Bank / Regulator / Insurance,CB,https://upload.wikimedia.org/wikipedia/commons/5/50/Canara_Bank_Logo.svg
5,Central Bank of India (CBI),Banking & Finance,Bank / Regulator / Insurance,CBI,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/cbin/logo.svg
6,General Insurance Corporation of India (GIC),Banking & Finance,Bank / Regulator / Insurance,GIC,https://vigilance.gicre.in/storage/setting/logo/gic-logo.png
7,Indian Bank,Banking & Finance,Bank / Regulator / Insurance,IB,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/idib/logo.svg
8,Indian Overseas Bank (IOB),Banking & Finance,Bank / Regulator / Insurance,IOB,https://upload.wikimedia.org/wikipedia/commons/2/29/Indian_Overseas_Bank_Logo.svg
9,Institute of Banking Personnel Selection (IBPS),Banking & Finance,Bank / Regulator / Insurance,IBPS,https://www.ibps.in/wp-content/uploads/logo-2.png
10,Life Insurance Corporation of India (LIC),Banking & Finance,Bank / Regulator / Insurance,LIC,https://upload.wikimedia.org/wikipedia/mr/a/aa/LIC_Logo.svg
11,National Bank for Agriculture and Rural Development (NABARD),Banking & Finance,Bank / Regulator / Insurance,NABARD,https://upload.wikimedia.org/wikipedia/commons/8/8f/NABARD.jpg
12,National Insurance Company Limited (NICL),Banking & Finance,Bank / Regulator / Insurance,NICL,https://nationalinsurance.nic.co.in/themes/custom/nicl/logo.svg
13,New India Assurance Company (NIACL),Banking & Finance,Bank / Regulator / Insurance,NIACL,https://images.seeklogo.com/logo-png/28/1/new-india-assurance-logo-png_seeklogo-289935.png
14,Oriental Insurance Company (OICL),Banking & Finance,Bank / Regulator / Insurance,OICL,https://oicl-cms-media.s3.ap-south-1.amazonaws.com/oicl_logo_f696d7368c.png
15,Punjab & Sind Bank (PSB),Banking & Finance,Bank / Regulator / Insurance,PSB,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/psib/logo.svg
16,Punjab National Bank (PNB),Banking & Finance,Bank / Regulator / Insurance,PNB,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/punb/logo.svg
17,Reserve Bank of India (RBI),Banking & Finance,Bank / Regulator / Insurance,RBI,https://upload.wikimedia.org/wikipedia/commons/8/8d/Reserve_Bank_of_India_logo.svg
18,Securities and Exchange Board of India (SEBI),Banking & Finance,Bank / Regulator / Insurance,SEBI,https://upload.wikimedia.org/wikipedia/commons/1/18/Securities_Exchange_Board_of_India.jpg
19,Small Industries Development Bank of India (SIDBI),Banking & Finance,Bank / Regulator / Insurance,SIDBI,https://upload.wikimedia.org/wikipedia/commons/8/87/SIDBI_LOGO.png
20,State Bank of India (SBI),Banking & Finance,Bank / Regulator / Insurance,SBI,https://upload.wikimedia.org/wikipedia/commons/3/33/State_Bank_of_India.svg
21,UCO Bank,Banking & Finance,Bank / Regulator / Insurance,UB,https://raw.githubusercontent.com/praveenpuglia/indian-banks/main/assets/logos/ucba/logo.svg
22,Union Bank of India (UBI),Banking & Finance,Bank / Regulator / Insurance,UBI,https://upload.wikimedia.org/wikipedia/commons/d/d0/Union_Bank_of_India_Logo.svg
23,United India Insurance Company (UIIC),Banking & Finance,Bank / Regulator / Insurance,UIIC,https://upload.wikimedia.org/wikipedia/commons/d/df/United_India_Insurance.svg
24,Comptroller and Auditor General of India (CAG),Central Government,Apex Body / Ministry,CAG,https://cag.gov.in/themes/c_o_e_f_a_j_o_u_r_n_a_l/assets/images/cagindia.png
25,Election Commission of India (ECI),Central Government,Apex Body / Ministry,ECI,https://upload.wikimedia.org/wikipedia/commons/7/72/Election_Commission_of_India_Logo.svg
26,Government of India Ministries (Standard National Emblem),Central Government,Apex Body / Ministry,Standard National Emblem,https://upload.wikimedia.org/wikipedia/commons/5/55/Emblem_of_India.svg
27,India Post (Department of Posts),Central Government,Apex Body / Ministry,Department of Posts,https://upload.wikimedia.org/wikipedia/commons/b/be/India-post-logo.jpg
28,National Testing Agency (NTA),Central Government,Apex Body / Ministry,NTA,https://upload.wikimedia.org/wikipedia/commons/2/22/NTA_logo.png
29,Staff Selection Commission (SSC),Central Government,Apex Body / Ministry,SSC,https://ssc.gov.in/assets/sscLogo.webp
30,Union Public Service Commission (UPSC),Central Government,Apex Body / Ministry,UPSC,https://upload.wikimedia.org/wikipedia/commons/6/67/Logo_-_Union_Public_Service_Commission_-_Government_of_India.jpg
